PID,Social Media Post,Normalized Claim
878,"the health foundation warns that unless something changes the nhs will lose up to 8800 fulltime equivalent gps by 2030 we estimate this could leave up to 16 million people without an nhs general practitioner within the decade","Sixteen million people could be left without a GP in a decade."
879,"biden is currently sending more military equipment to our neighborhoods than trump did you read that right our communities are being terrorized at a greater rate than they had been under trump","“Biden is currently sending more military equipment to our neighborhoods than Trump did.”"
880,"meaning of the word sir","The English word SIR is an acronym for ‘Slave I remain’"
881,"stomach slimming no exercise no diet lose belly fat side fat fat chest arm super fast","Consuming water with cucumber and banana can make you lose fat without diet and exercise"
882,"new about 4050 of cdc fda employees are refusing the covid 19 vaccine according to fauci marks what","The claim: Dr. Anthony Fauci and Peter Marks said 40% to 50% of CDC and FDA employees are refusing the COVID-19 vaccine"
883,"antihindu demonstration organised by a muslim group in usa save the prophet boycott hindu business","Anti-hindu demonstration organised by a muslim group in USA – “Save the Prophet, Boycott hindu business”."
884,"some 65 million offences have been logged in the past year up 12 on the previous 12 months the rise has been fuelled by an increase in sex crimes up 20 and violent attacks up 13 says the office for national statistics ons","Crime rates in England and Wales are at a record high."
885,"verified how much is a gallon of gas where you live joebidensamerica","Joe Biden is to blame for higher gas prices"
886,"stepdowndu 30 now resignnow","TV show host Willie Revillame told President Rodrigo Duterte should sell his beautiful car and jet to help typhoon victims"
887,"black garlic cures cancer with twice the antioxidant levels of white garlic it is toxic to 14 types of cancers","Black garlic cures cancer"
888,"shocking tamil brahmi inscriptions getting replaced with hindi tanjore temple","The wall stones in Thanjavur's big temple originally had Tamil inscriptions which have been replaced with Hindi inscriptions now."
889,"while the citizens are busy figuring out how to increase the number of community pantries in every community to alleviate hunger duterte and the ntf elcac are busy figuring out how to connect the community to the communists pantries the tarps community pantry of the communist party are coming out that the ntf elcac is not the one who did it see","Communications Undersecretary Lorraine Marie Badoy said ""Mga komunista lang ang natutuwa sa community pantry” (Only communists are pleased with the community pantries)"
890,"although this work was sound and valid six years ago it is now out of date and the characteristics of the uk economy have since changed substantially vis a vis flexible working weeks and working from home","Labour’s plan to introduce four extra public holidays could cost Britain almost £10 billion."
891,"capitol police will be releasing an estimate of the crowd size later organizers said in their permit request which was denied that they anticipated 1000 people on facebook more than 3000 said they were coming","Says Gov. Tony Evers “removed the American flag from the Capitol building”"
892,"saudi is an islamic country","This picture is not of Saudi or any Islamic country but of a Girls Engineer Degree College in Kerala, India. We are also improving our afterlife"
893,"in honor of taxday i remind you that governor evers wanted to increase your taxes by 1 billion just for heating your homes instead republicans cut your taxes by more than 2 billion we want to keep more money in your pockets","Says Gov. Tony Evers ""wanted to increase your taxes by $1 billion just for heating your homes. Instead, Republicans cut your taxes by more than $2 billion."""
894,"joe bidens new america on friday in front of capitol hill","Thousands of Muslims offered prayers in front of the US Capitol after Joe Biden became the US President"
895,"skin whitening colgate toothpaste at home remedies","A number of social media users claim that toothpaste can help improve your skin complexion. Rubbing toothpaste on your face will whiten the skin, they claim. We fact-checked and found that the claim is false."
896,"earths weather has been manipulated for a long time most people think that weather modification occurs through aerial spraying but its a combination process the spraying puts suspended metals into the atmosphere that facilitate the process then haarp is used to excite those elements and modifies the weather according to the parameters they set haarp transmits radio waves upward into the ionosphere where they because electrons to move in waves haarp is an ionospheric heater so called because the excitation of electrons increases their temperature and it is the most powerful ionospheric heater in the world check out your clouds today climatechangeisfraud climateemergencyhoax lookup reposted from marisa see less","The HAARP ionospheric research facility can be used to change the weather."
897,"thank you nigeria ashamedofbollywood","Thank You Nigeria #AshamedOfBollywood"
898,"vaccine injuries are real yet the biden administration is still pushing to mandate an experimental vaccine on americans to engage in daily life all while vaccine manufacturers share little legal liability if injury occurs this is unjust deceitful and downright tyrannical","The claim: 1 million 'COVID-vaccine injuries' are reported in a CDC database"
899,"as neet results are declared we must look this interesting fact about results rank 1 shoaib aftab rank 2 zeeshan ashraf rank 3 yasir hameed rank 4 sajid mehmood rank 5 sana mir bhakts are burning retweet because nobody will tell you this neetresult 2020","Top 5 Rankers of NEET 2020 are Muslims"
900,"so newsom closed all voting precincts through california in our county of ventura 379 precincts will be closed voting day and instead only 47 voting stations will be open newsom said this is because of cv 19 but that makes no sense if that were really his concern you would want more locations with fewer people at each place not less even more scary no one knows this is happening throughout all of california","Ventura County election officials reducing voting locations to limit in-person voter turnout"
901,"breaking elon musk appoints donald trump jr as the new twitter chief executive officer after stepping down from the post","Elon Musk to appoint Donald Trump Jr as the new Twitter CEO"
902,"the congress government in punjab has set the precedent for the rest of the country when it comes to prioritising education capt_amarinder and his government have ensured that every child has the right to quality education","The Congress government in Punjab has set a precedent for the rest of the country when it comes to prioritizing education by allocating 8% of total budget to education"
903,"remember the ten steps of genocide and image","Australians who are not fully vaccinated for COVID-19 by the end of 2021 will be put into isolation camps."
904,"in the past people took strepsils for streptococcus throat which were named after the bacteria they fight against so how did streptococcus throat suddenly become so lethal to children it did not but they obviously needed something else to blame for the tragic deaths after all they are as likely to blame their new nasal flu vaccines for childrens deaths as they are for blaming the unproperly tested gene therapy shots for all the injuries harm and deaths that are happening all over the world this new strep on steroids is the equivalent of sudden adult death syndrome or shaking your duvet too hard or the clocks going back an hour etc cover ups so long as parents think strep is killing their children and not the nhs or the government they will accept it all day long brainwashing and propaganda can do that to a nation what would parents do if they found out it was not just good old strep after all but more state sponsored dangerous and poisonous injections which have created this lethal strep perception is everything in this war","Strep throat used to be mild but suddenly appears to have become lethal to children."
905,"what makes this incredibly unjust is that the model s to date has the best safety record of any car on the road no injuries or deaths ever","Model S has no injuries or deaths ever. Model S to date has the best safety record of any car on the road."
906,"as i learn more and more each day i ante meridiem coming to the conclusion that what is taking place is not an impeachment it is a coup intended to take away the power of the","Says his impeachment is a ""coup."""
907,"anybody seen in a bus over the age of 30 has been a failure in life","Margaret Thatcher once said anyone on a bus over the age of 25 is a failure."
908,"applying a mud_bath on the whole body even the biggest wound gets cured by the use of mud walking barefoot on the earth increases the eyesight digestion is strong mud bath cures diseases like headache swelling of the throat cold coldness of feet and head swabhimani 1","Mud bath can cure diseases"
909,"according to a study in israel natural immunity is 13 times more effective than vaccines in fighting the delta variant this could spell trouble for the vaccine business","A study in Israel has found that natural immunity is 13 times more effective agains the Delta variant than COVID-19 vaccines"
910,"smartphone companies in india to stop manufacturing 4 gonly phones over rupees 10000 move to 5 g completely the indian government has asked mobile manufacturers to discontinue all 4 gonly phones over rupees 10000 and focus only on 5 gcapable devices","#SMARTPHONE COMPANIES IN INDIA TO STOP MANUFACTURING #4G-ONLY PHONES OVER RS 10,000, MOVE TO #5G COMPLETELY.

The Indian government has asked mobile manufacturers to discontinue all 4G-only phones over Rs 10,000 and focus only on #5G-capable devices.

They have been given a period of three months to comply."
911,"what an unusual coincidence","Infosys, the company owned by Rishi Sunak’s in-laws is an IT and digital solution company registered in Rwanda. The UK outsources many of its immigration processes to the company."
912,"this is a count of tests processed not individuals tested so may count multiple tests for an individual both within and across testing routes","125,000 care home staff had been tested for Covid-19 as of mid-May."
913,"karachi pakistan today","Floods in Karachi, Pakistan Today"
914,"we have made it clear the figure used to show the reduction in crime excludes fraud and computer misuse","Overall crime has fallen by around 50% since 2010."
915,"asari dokubo has warned that yorubas will be attacked in the social security and se please stay safe everyone","A claim warns that Yorubas will be attacked in the South South and South East."
916,"gas explosion is becoming a number one killer in the society please you do not have to shake the gas cylinder to know the level of its content what you should do is to wet a side of the cylinder with water after a while the used top part will be dry while the lower part with gas will remain wet the wet portion tells you the amount of gas left most times we shake our gas cylinders to know if it is finished or not that is a dangerous thing to do it could be suicidal you can save a life today by sharing this information","Shaking a cooking gas cylinder causes it to explode"
917,"the vaccine made in our country is effective cheap and easy to store this is a symbol of narendra modis policy and the efficiency of our scientists those who doubt it unnecessarily should know that 190 countries have done advance booking of this vaccine","190 countries have pre-booked the Bharat Biotech COVID-19 vaccine that India has developed"
918,"the us has made strides in reducing carbon emissions that other parts of the world have not meanwhile potus is trying to send taxpayer dollars to manufacturers overseas that do not abide by the same standards we do at home","Says President Joe Biden ""is trying to send taxpayer dollars to manufacturers overseas that do not abide by the same (carbon emission) standards we do at home."""
919,"as has been stated by numerous legal scholars i have the absolute right to pardon myself but why would i do that when i have done nothing wrong in the meantime the never ending witch hunt led by 13 very angry and conflicted democrats others continues into the midterms","""As has been stated by numerous legal scholars, I have the absolute right to PARDON myself."""
920,"live scenes from jacaranda gardens nairobi","Image claiming to show a crowd at DP Ruto rally in Jacaranda Grounds"
921,"inside visuals of turkey famous hotel turkey turkeyearthquake turkiye turkish turkeyquake turkeyhelp turkifsa turquia syria syriaearthquake syria_earthquake syrian","Inside visuals of Turkey Famous Hotel ...
#Turkey #TurkeyEarthquake #Turkiye #Turkish #TurkeyQuake #turkeyhelp #turkifsa #Turquia #Syria #syriaearthquake #Syria_earthquake #Syrian"
922,"my greatgrandmother in 1914 she was the first female flight attendant for the first commercial airline of the united states of america on january 1 1914","she was the first female flight attendant for the first commercial airline of the United States of America on January 1, 1914"
923,"the voting machines in arizona were not certified and thusly the election in turn cannot be legally certified","President Joe Biden signed an executive order to tear down the border wall built during the Trump administration"
924,"the supreme court decides to set up a committee yesterday to form an all india organization of taxpayers should be formed which will be the biggest organization in the world no matter which government is ruling without the approval of this organisation no free electricity free water free distribution or loan waivers can be announced by any government implement them as the money belongs to our tax payments so the tax payers should have the right to oversee its use political parties will keep luring the public by distributing freebies for votes since it benefits them whatever schemes are announced the government should first give their blueprints and take consent from this organisation this should be applicable even to the salaries of mps and mlas and the other indiscriminate benefits they get is democracy limited to just voting what rights do we tax payers have after that tax payers should also have the right to hold mps mlas accountable and initiate disciplinary action against them for disrupting working of parliament they are after all servants paid by taxpayers right to recall any such freebies should also be implemented soon","The Supreme Court has decided to set up a committee to form an All-India Organisation of Taxpayers which will be the biggest organisation in the world and oversee the decisions taken by the governments on freebies"
925,"two days after the 911 attack trump was at ground zero with hundreds of workers that he paid of his own pocket to help find and identify victims he is been a patriot to the country he loves forever","Two days after the 9/11 attack Donald Trump was at Ground Zero with hundreds of workers that he paid of his own pocket to help find and identify victims."
926,"ok so it is all funny and hilarious to us but some people are going to take this to heart last time a voting center in downtown detroit was ambushed by right wingers this rhetoric of lies is exactly what lead up to january 6 th","The claim: An 'absentee ballot situation' in Detroit proves there was cheating in the election"
927,"today i offered a oneminute floor speech about our national conversation around gun violence student activists have marched organized and insisted that we take our safety seriously passing hr 8 and hr 1112 can do so endgunviolence","97% of Americans support firearm background checks"
928,"no grand welcome us media did not cover his visit kamala harris did not tweet about her meeting with him itni beizzati se toh achha tha plane mein baith ke kuchh aur files padh lete vishwaguru ji","US Vice President Kamala Harris tweeted regarding her meeting with Zambian President but ignored tweeting her meeting with Indian PM Narendra Modi"
929,"there were 6507 suicides registered by coroners in 2018 a rise of 118 on the previous year","There were 6,507 suicides registered by coroners in 2018 - a rise of 11.8% on the previous year"
930,"sen ted cruz rtx you did not see republicans when we had control of the senate try to rig the game you did not see us try to pack the court","“You didn't see Republicans when we had control of the Senate try to rig the game” for Supreme Court nominations."
931,"thousands and thousands having their jab hear kate shemirani speak","The Covid-19 vaccine is a “device” and does not fulfil the legal definition of a vaccine."
932,"trump wants to ensure they 1 keep counting nevada 2 keep counting arizona but 3 stop counting pennsylvania 4 stop counting michigan and 5 recount wisconsin do you see the problem count all the votes election 2020","Trump wants to stop counting votes in some states and not others"
933,"he does have 91 approval remaining 9 are kids who were not polled he does not want to disappoint the 91 whose approving cooperation makes possible his successful fight against crime and contagion 91 approve of everything he is done so far everything todo no exceptions","President Rodrigo Duterte's 91% approval rating in the Sept. 14 to 20 Pulse Asia survey meant they ""approve of everything he's done so far...without exception."""
934,"polish media accidently recorded zelenskys double when they covered bidens visit to kyiv awkward","Polish media accidently recorded #Zelensky’s double when they covered #Biden’s visit to #Kyiv"
935,"vaccine is still killing people conspiracy proved they wanted to kill us no healthy kids died of c 19 but 1000 s have died from their poison","Thousands of children have died from the Covid-19 vaccine."
936,"missouri louisiana and tennessee just banned plan billion peter thielbacked gop senator candidate wants to ban condoms and birth control mcconnell is now preparing for a nationwide on abortion this was never about health this was always about a fucked up ideology and religious control","Tennessee ban Plan B and made its ordering criminally punishable"
937,"ancient egyptian dental work from 2000 because","Ancient Egyptian dental work from 2000 BC."
938,"mandatory vaccinations will become law from wednesday","Mandatory vaccines became law from Wednesday 6 January 2021."
939,"at a time when more than 10 million americans are out of work president biden wants to give amnesty to 15 million illegal immigrants that is putting american workers last","""A lot of these migrants that are coming, we have no way to screen their backgrounds for either health or security."""
940,"fun electric vehicle fact to match the 2000 cars that a typical filling station can service in 12 hours an electric vehicle charging station requires 600 50 kw chargers at an estimated cost of 24 million and a supply of 30 megawatts of power from the grid for each filling station in america","Replacing all U.S. gas stations with EV chargers is prohibitively expensive"
941,"did you know while brushing in the morning brush your teeth with the help of that hand which you do not use for writing doing this will wake you up and make you feel refreshed much faster than usual","Brushing teeth with the non-dominant hand is beneficial"
942,"the real mermaid found in the sea","समुंद्र में दिखी असली जलपरी"
943,"foto wanita kecil yang berani seorang gadis ukraina 8 tahun berhadapan dengan seorang tentara rusia yang menyuruhnya kembali ke negaranya ini berani gadis pemberani","The claim: An image shows a Ukrainian girl confronting a Russian soldier"
944,"in 1928 walt disney created mickey mouse nobody could have predicted the impact mickey would have nearly a century later he is still the walt disney companys dominant figure and the face of disney however in 2024 figment will take over as the official disney mascot from mickey mouse the decision to remove mickey mouse as disneys official mascot was motivated primarily by legal concerns mickey mouses copyright protection is set to expire in january 2024 this means that mickey mouse will be in the public domain and anyone will be able to use him disneys famous mouse will no longer have the same level of legal protection via mousetrapnews","Mickey Mouse will be replaced as the official Disney mascot"
945,"ultimately the best way to ensure you are buying a genuine dyson product is to purchase it directly from an official dyson website or a reputable retailer of dyson products","A Dyson Supersonic hair dryer is available for just £1.78 in an AO.com clearance sale."
946,"if i shave actor suryas head i will give him a reward of rs 1 lakh said the association the father of a poor student who benefits from his education if he receives a reward of rs 1 lakh for shaving me actor surya clarified this statement by announcing congratulations to the father periyars grandson actor surya","Arjun Sampath: I will give a gift of Rs 1 lakh to those who slap actor Surya.

Actor Surya: If you give a lakh for beating me I am ready to give that opportunity to a poor student"
947,"nikkifried is a lockdownlobbyist who has opposed every commonsense measure that has kept florida safe and free like open schools businesses and places of worship govrondesantis has done more in one week than fried in her time as ag commisioner","Says Florida Agriculture Commissioner Nikki Fried “spent millions of dollars to put her face on every gas pump across this state.”"
948,"first and foremost in tamil nadu the women guards were created by muthamishin leader doctor kalaignar first and foremost in tamil nadu for female guards mobile restroom created by thalapathyar is the chief minister of our tamil nadu","Our CM Stalin is the first to introduce mobile toilet for female police in Tamil Nadu"
949,"onion tea for missed period this remedy is for those that have missed their period some people do not even menstruate every month and if she does is very small if your period is irregular not fourth coming for long and you are seeking natural ways to bring them back try this recipe do not go to early menopause and you can add twin blessing fertility cleanser and menopausal powder 1 big onion 1 big lemon 1 cup of water process crush grind or blend the onion boil in 1 cup of water sieve it and add lemon juice and drink this mixture at all once after dinner do this once a day for 3 days","A social media post claims that a tea made with lemon and onion regulates periods and prevents early menopause. We fact-checked and found this claim to be false."
950,"two days after the 911 attack trump was at ground zero with hundreds of workers that he paid of his own pocket to help find and identify victims he is been a patriot to the country he loves forever","The claim: Donald Trump helped with the emergency response and cleanup after the Sept. 11, 2001, terror attacks, contributing money and hiring workers"
951,"fun fact pancur dog wormer kills almost every cancer its mostly made of a drug called fenbenzadole a drug designed to be an antibody it kills the cells unlike your other nhs shit that just make the cells lay dormantsleep untill they are ready to wake back up you can buy it in pets at home sic","Fenbendazole, the main ingredient in some dog wormers, kills almost every cancer."
952,"i ante meridiem sure is just coincidence","The claim: Ambassadors pulled from Turkey 24 hours before earthquake"
953,"how has no one in the media found this anthony fauci clip sooner he actually makes sense source cspan","the best vaccination is to get infected yourself"
954,"trump i take full responsibility it is not my fault what","Donald Trump said he takes full responsibility for the COVID-19 pandemic and said it’s not his fault"
955,"in delhi again a hindu girl became a victim of abdul nikki yadav had the intention of doing the same thing as shraddha","Accused in Nikki Yadav murder belongs to Muslim community"
956,"ga imran ga pti","The PTI won the recent by-election in Swat by defeating a “13-party coalition of PDM single handedly”."
957,"the greenhouse effect is a hoax there is no correlation between a higher level of co 2 and higher temperature the year 1998 was warmer than 2013 although the atmosphere had less co 2","The claim: Greenhouse effect is a hoax, global warming  uncorrelated with CO2 levels "
958,"it is horrible look at the fire of todays blast peshawarblast peshawar peshawarunderattack peshawarattack","It’s horrible, look at the fire of today’s blast. #Peshawarblast #Peshawar #Peshawarunderattack #PeshawarAttack"
959,"once we come out of the single market freedom of movement falls","Norway has free movement with the EU, despite not being in the single market."
960,"with crime surging across nys this morning i will call on the interim governor to develop a comprehensive public safety plan to stem the violence i will also be outlining several common sense solutions to keep new yorkers safe","Hochul is an “interim Governor.”"
961,"we are 5000 nurses down","The number of nurses in the NHS has declined by 5,000 because of Brexit."
962,"kapil mishra the mastermind behind delhi hindu and muslim riots kapil mishra","Kapil Mishra's sister marries Shahzad Ali"
963,"did you know stop using aluminum foil to cook research into the dangers of cooking with aluminum foil has found that some of the toxic metal can contaminate food this is especially true when foil is used to cook or heat spicy and acidic food increased levels of aluminum in the body have been linked to osteoporosis and alzheimers disease","cooking in Aluminum foil cause Alzheimer’s Disease"
964,"you science is politics all the rcts show no or essentially no effect for cloth or surgical masks and an understanding of aerosols shows why the vaccines are poor and unnecessary for most people as they have low risks andor natural immunity ventilation works","A social media post claims that masks essentially do not show any effect. It further claims that the vaccines are poor and unnecessary for most people as they have low risks and/or natural immunity. We fact-checked and found this claim to be Mostly False."
965,"unreal","Biden was caught red-handed using a teleprompter"
966,"as soon as our government is formed we will give 5 thousand crore loan to pakistan without interest for 50 years rahul gandhi","As soon as our government is formed, we will give 5 thousand crore loan to Pakistan without interest for 50 years: Rahul Gandhi"
967,"flight to rwanda blocked by the eu time to call brexiteers to battlestations","The government’s first flight to deport people to Rwanda to have their asylum applications processed there was blocked by the EU."
968,"was troubled by the rising price of oil ran away after burning a petrol pump in haryana","Was troubled by the rising price of oil, ran away after burning a petrol pump in Haryana."
969,"president realdonaldtrump new york governor andrew cuomo refused to order 16000 ventilators back in 2015 for a pandemic","Says N.Y. Gov. Andrew Cuomo “rejected buying recommended 16,000 ventilators in 2015 for the pandemic, for a pandemic, established death panels and lotteries instead. So, he had a chance to buy, in 2015, 16,000 ventilators at a very low price, and he turned it down.”
"
970,"are they really telling us that all 7800000000 people in world need to be vaccinated for a virus that does not kill 9999 of us that would be totally ridiculous reactions to the vaccine would kill more than the virus what is the real reason they want us all injected","Covid-19 does not kill 99.99% of us."
971,"how to whiten your teeth with banana peel take a piece of the inside of the banana peel and gently rub around on your teeth for about 2 minutes the amazing minerals in the peel like potassium magnesium and manganese absorb into your teeth","According to a well-liked social media post, banana peels can whiten teeth. We verified the claim. According to our research, the claim is Mostly False."
972,"kamala harris failed the bar 1 st time amy coney barrett 1 st in her class i rest","The claim: Kamala Harris failed the bar exam on her first attempt, while Amy Coney Barrett graduated at the top of her law school class"
973,"great news west virginia will receive 25 m for 160 orphaned well cleanup projects across the state this funding from my bipartisan infrastructure law will make our communities safer and healthier while revitalizing rural economies throughout wv more","West Virginia is poised to “receive $25M for 160 orphaned well clean-up projects across the state.”"
974,"so far biden has talked like a centrist but governed from the radical left","Says Joe Biden “has issued more executive fiats than anyone in such a short period of time, ever, more than Obama, more than Trump, more than anyone.”"
975,"just left dayton ohio where i met with the victims and families law enforcement medical staff and first responders it was a warm and wonderful visit tremendous enthusiasm and even love then i saw failed presidential candidate 0 sherrod brown and mayor whaley totally","Says U.S. Sen. Sherrod Brown and Dayton Mayor Nan Whaley were ""totally misrepresenting what took place inside of the hospital. Their news conference after I left for El Paso was a fraud. It bore no resemblance to what took place with those incredible people that I was so lucky to meet and spend time with.""  "
976,"other independent groups arrive at similar figures","Under the Tories, families are £2,620 worse off."
977,"the majority of those dying of covid 19 in the uk and the us have not been vaccinated","The “vast majority” of those dying from Covid-19 in the UK now are unvaccinated."
978,"the facts surrounding the tragic end to her career which are considered disgraceful have sparked outrage across the nation this morning carrie has stunned australians with the truth behind her shock exit from the project newmariahcareyscookiescom carrie has stunned australians with the truth behind her shock exit from the project","Carrie Bickmore was fired from The Project after promoting a cryptocurrency trading scheme."
979,"doctor anthony chaffee is a neurosurgical registrar and has been a carnivore for 23 years his wealth of knowledge on the subject helps dispel a number of myths and leads us to wonder are plants trying to kill us we discussed the sugar industries corrupt demonisation of fats defence chemicals in plants vegan opposition compassionate hunting carnivore sustainability plant communication and even volunteering in bangladesh to help those fleeing isis absolutely incredible episode and definitely worth the listen patreon support the hard yarns and get access to exclusive drops content live shows and promo codes find us email infothehardyarnscom instagram thehardyarnspodcast tiktok thehardyarnspodcast web hard yarns is produced by cameron branch daniel delby and cameron mclaren hardyarns podcast comedy carnivore","For most of human history we have exclusively eaten meat."
980,"during an interview on cnn fauci said that when you do not have the data you have to make a judgement call","“Fauci admits he isn’t listening to the science when advocating policy.”"
981,"nih 15 years ago published a study on chloroquine it is effective against covid 1 we are being lied to america","Says the NIH “15 years ago published a study on chloroquine. It is effective against COVID-(1).”"
982,"hindu new year rally was attacked by a mob of a particular community did not allow the rally to go ahead","Visuals of Muslim men obstructing Hindu rally on Hindu New Year’s day"
983,"to the disbelievers with their heads up their asswe move forward without your cowardice scared little lives","“‘Child trafficking camp’ discovered in Arizona.”"
984,"awakening a volcano by throwing a rock","Awakening a volcano by throwing a rock"
985,"milwaukee is on pace for a third straight homicide record the rate has nearly doubled in the past two years the men and women of law enforcement need our support to protect our communities from violent crime","In Milwaukee, ""The (homicide) rate has nearly doubled in the past two years."""
986,"fill you tanks state of nj will be out of gas for a week smh","New Jersey “will be out of gas for a week.”"
987,"due to having a few small dents and scratches we have been unable to sell this in our showroom rather than flog it as second hand we have decided to bring some joy by giving it to someone who has sharred sic then commented by april 16 th at 5 pm delivery should be within 2 weeks","Social media users could win a motorhome in return for comments and shares on a Facebook post."
988,"new joe biden is running a new television ad answering the bernie sanders campaign on social security negative ads will only help donald trump says narrator already aired in fl mi oh mo il","Ad Watch: Joe Biden’s ad about Bernie Sanders’ attack on Social Security"
989,"man do i love having this twitter account the ability to connect to so many millions of people to express my feelings and views to know that all major media outlets and world leaders are reading these words that they are recorded for posterity how awesome is that","Barack Obama tweeted about President Donald Trump's Twitter ban."
990,"as the bluetooth was activated on the mobile phone the current came from the high tension cable of the track and reached the brain through the ear phones avoid using bluetooth on the railway platform while travelling and standing close to the train track on the platform","As the Bluetooth was activated on the mobile phone, the current came from the high tension cable of the track and reached the brain through the ear phones And what happened next? See it yourself. Avoid using Bluetooth on the railway platform while travelling and standing “close to the train track” on the platform."
991,"ukrainians are kneeling on the ice and praying so that the world can avoid a new war in which the blood of innocents will be she would","Ukrainians kneel down on snow and pray under the sky of the Merciful God, in order to avoid the world a new war in which streams of innocent blood. The leaders of the Ukrainian churches have dedicated the day of tomorrow Sunday to pray, fasting and repentance for peace. Let's join our voices to theirs, and form a human and spiritual strength in the face of weapons, destruction and bloodshed."
992,"what a headline","Image shows CBS article about the 'super-rich' gathering in Davos"
993,"poor people are poor because they have inferior genes and brains rich people are rich because they are superior","Poor people are poor because they have inferior genes and brains. Rich people are rich because they are superior"
994,"socalled climate activist greta thunberg gets fake arrested at a coal mine in germany meanwhile african kids are forced to mine for rareearth minerals like cobalt zinc lithium and more so let us not virtue signal over being green greta gretathunberg howdareyou climatechange climateactivist climate greenenergy climatechange renewableenergy renewable carbonemission lithiumion cobalt zinc batteries battery solar wind nuclear fossilfuel","The claim: Greta Thunberg arrest in Germany was staged"
995,"professor from harvard university nidhi razdan jiocare should provide her free services","Professor from Harvard University Nidhi Razdan. Jiocare should provide her free services."
996,"heavy rains change suits in swimming suits","Heavy rains change Suits in Swimming suits"
997,"guinness world record set by jagan anna fans by donating blood with a record number of 129451 registrations across the globe on the eve of 50 th birthday of honorable chief minister of andhra pradesh ysjagan anna hbdysjagan hbdysjagananna","Guinness World Record set by Jagan Anna Fans by donating blood with a record number of 1,29,451 registrations across the globe on the eve of 50th birthday of Honorable Chief Minister of Andhra Pradesh 
@ysjagan
 Anna 🔥🔥🔥"
998,"every single person who has cancer has a ph that is too acidic","Cancer Has pH That Is Too Acidic"
999,"your doctor must see you in two weeks","Your doctor must see you in two weeks."
1000,"interpretation of the case rates in vaccinated and unvaccinated population is particularly susceptible to changes in denominators and should be interpreted with extra caution","Older people are more likely to become ill with Covid-19 if they are vaccinated than if they are not."
1001,"did you know electricity was free in kashmir since independence not any more","Did you know that electricity was free in Kashmir since independence, Not anymore !!"
1002,"blames putin at press briefings then admits its all part of his own plan sickening","“Biden admits $5 is being done on purpose” and “this has been his plan all along.”
"
1003,"pay drift and workforce growth","If everyone in the public sector had a pay rise in line with inflation, it would cost an extra £28 billion."
1004,"we are making sure we have the nurses we need to continue delivering worldclass patient care that is why there are almost 13100 more on our wards since may 2010 and 52000 in training","There are 52,000 nurses in training."
1005,"please keep my babies in prayer active shooter at mount healthy high school","An Ohio high school had an active shooter on March 1"
1006,"arpita mukherjee is dancing with mp saugata roy","MP Saugata Roy dancing with Arpita Mukherjee"
1007,"through directly voting against voting in favour of wrecking amendments and voting against eleven of the statutory instruments required for delivering brexit keir starmer voted to hinder our exit from the eu at least 48 times","Keir Starmer voted 48 times to overturn the will of the British people and take us back into the European Union."
1008,"this is your daily reminder that barack obama asked ukraine to investigate his political rivals campaign manager 3 democrat senators asked ukraine to investigate trump and the dnc solicited ukraines help to dig up dirt on trump and the media was silent about all of it","""Barack Obama asked Ukraine to investigate his political rival's campaign manager, 3 Democrat senators asked Ukraine to investigate Trump, and the DNC solicited Ukraine's help to dig up dirt on Trump."""
1009,"acting superstars doing lunger with an empty plate and mask on insulting of gurudwara sheab always insulting and making fool to public who asked them to fake acting in gurunakaji temple","Acting super stars doing lunger with empty plate and mask On.   Insulting of gurudwara sheab. Always insulting and making foolsto public , who asked them to fake acting in gurunakaji temple."
1010,"wow report just out google manipulated from 26 million to 16 million votes for hillary clinton in 2016 election this was put out by a clinton supporter not a trump supporter google should be sued my victory was even bigger than thought judicialwatch","""Google manipulated from 2.6 million to 16 million votes for Hillary Clinton in 2016 Election."""
1011,"according to german television using some fancy crowd measurement technology we may have underspun they say 22 m","German TV said there were 2.2 million people at the People’s Vote march on Saturday 19 October."
1012,"dosto agar aapko karna chahte hain apne daaton ko aur bhi zyada safed to main aapse share karna chahta hu ek asaan sa tareeka jo aapke daaton ko motiyon ki tarah chamkadega wo bhi sirf 5 minute mein mujhe iske baare mein kucch saal pehle pta chala tha aur tab se maine khud ise kaafi baar aazmaaya hai aur yakeen maniye dosto har baar yeh ek jaadu ki tarah kaam krta hai sabse acchi baat yeh hai ki ise karna itna easy hai ki hum mein se sabse aalsi insaan bhi ise bade araam se kar lega yeh 100 natural upaaye hai jiska koi bhi side effect nahi hai aur mazedaar baat yeh hai ki ise krne ke liye sirf ek ingredient hi chahiye mujhe lagta hai ki yeh best time hai iske baare mein baat karne ke liye kyunki wo ingredient is season badi asaani se mil jata hai aur wo ingredient hai strawberries","Strawberries whiten your teeth without leaving any side effects"
1013,"former twitter chief executive officer parag agrawal arrested for child porn breaking hot off the presses","Former Twitter CEO Parag Agrawal arrested for child porn.   BREAKING HOT OFF THE PRESSES"
1014,"live now governor gavinnewsom agrobbonta portantino and gun rights groups announce new gun safety legislation","""(Ron) DeSantis' bill would remove: background checks, instruction, training and oversight."""
1015,"this is a horrible and very unfair situation the real crimes were on the other side as nothing happens to them cannot allow this miscarriage of justice","Trump attack on former Stone prosecutors ignores critical facts"
1016,"correction fact checkers at politifact have rated this as false noting that deaths from abortions still happen but they declined sharply after roe v wade","The claim: Roe v. Wade marked the end of women dying from abortions"
